mz,mean.log.int,sd.log.int,missing.rate,species,strain
1057.236586,-6.36334321,0.425917841,0,Ab,Dummy
1058.160156,-6.434476302,0.503143434,0,Ab,Dummy
1105.266137,-6.189426426,0.200394772,0,Ab,Dummy
1112.449574,-5.499141685,0.469200386,0,Ab,Dummy
1113.340092,-5.768750543,0.343017407,0,Ab,Dummy
1114.40806,-5.811420638,0.351273166,0,Ab,Dummy
1115.35672,-6.134868916,0.297221899,0,Ab,Dummy
1117.401256,-6.48684845,0.163375041,0,Ab,Dummy
1138.467894,-6.265335623,0.456994224,0,Ab,Dummy
1140.438972,-4.35802022,0.39263433,0,Ab,Dummy
1141.367138,-4.511439257,0.33384669,0,Ab,Dummy
1143.372445,-5.13465541,0.313944976,0,Ab,Dummy
1145.400677,-4.876458678,0.235640012,0,Ab,Dummy
1157.449067,-6.390294824,0.333481602,0,Ab,Dummy
1171.42082,-4.610959653,0.320736023,0,Ab,Dummy
1172.335,-4.820352615,0.256707435,0,Ab,Dummy
1243.472766,-6.313878745,0.092075087,0,Ab,Dummy
1271.387517,-5.892655,0.585821618,0,Ab,Dummy
1273.266022,-6.169997278,0.590987792,0,Ab,Dummy
1299.470916,-5.236439556,0.837585583,0,Ab,Dummy
1315.772082,-6.303676773,0.624597325,0,Ab,Dummy
1353.5464,-5.842300528,0.153374934,0,Ab,Dummy
1354.420902,-5.858573808,0.133305822,0,Ab,Dummy
1355.502923,-5.676192063,0.038764729,0,Ab,Dummy
1367.630757,-6.25594653,0.16446411,0,Ab,Dummy
1369.58603,-5.963958627,0.110199449,0,Ab,Dummy
1379.552136,-5.707586277,0.252474079,0,Ab,Dummy
1381.556742,-4.095274063,0.222918282,0,Ab,Dummy
1382.452028,-4.101285729,0.133362271,0,Ab,Dummy
1383.475575,-4.167011981,0.106327849,0,Ab,Dummy
1395.560319,-4.863176633,0.292012833,0,Ab,Dummy
1396.501119,-4.843669152,0.168808988,0,Ab,Dummy
1397.506555,-4.91884935,0.117901698,0,Ab,Dummy
1409.929383,-3.335487991,0.158319478,0,Ab,Dummy
1423.871519,-5.354262218,0.175556169,0,Ab,Dummy
1435.600534,-4.932818925,0.319188452,0,Ab,Dummy
1436.50753,-4.873404311,0.167240604,0,Ab,Dummy
1481.566345,-6.247196688,0.209314558,0,Ab,Dummy
1483.397876,-6.30919683,0.201108529,0,Ab,Dummy
1509.488615,-5.118054236,0.29093056,0,Ab,Dummy
1511.380212,-5.314387974,0.230387257,0,Ab,Dummy
1536.712623,-6.4506445,0.222542487,0,Ab,Dummy
1718.944064,-5.297505559,0.156990842,0,Ab,Dummy
1734.935791,-4.703290104,0.237458183,0,Ab,Dummy
1837.344971,-6.334142841,0.260893873,0,Ab,Dummy
1873.421621,-5.909213865,0.088587857,0,Ab,Dummy
1889.323441,-4.971100265,0.154662587,0,Ab,Dummy
1901.872606,-4.921507774,0.115490606,0,Ab,Dummy
1917.443363,-4.129604028,0.166282488,0,Ab,Dummy
1937.481017,-6.035582166,0.149069537,0,Ab,Dummy
