mz,mean.log.int,sd.log.int,missing.rate,species,strain
927.7746967,-5.616085762,0.129956181,0,Ec,Dummy
928.6386911,-5.355989694,0.136384058,0,Ec,Dummy
929.6174214,-5.475423377,0.141253718,0,Ec,Dummy
930.5466255,-5.267843397,0.262638812,0,Ec,Dummy
931.5907527,-5.916772689,0.124190012,0,Ec,Dummy
932.5424202,-5.978460669,0.283917141,0,Ec,Dummy
1056.607099,-5.848003805,0.142789424,0,Ec,Dummy
1057.511853,-5.82562628,0.126249624,0,Ec,Dummy
1058.467856,-5.941156997,0.091708979,0,Ec,Dummy
1064.32524,-6.397108448,0.413095514,0,Ec,Dummy
1065.243524,-6.476850646,0.177772131,0,Ec,Dummy
1230.689797,-6.531911223,0.436181126,0,Ec,Dummy
1232.655273,-6.536768772,0.39595028,0,Ec,Dummy
1246.742401,-6.370970525,0.349888227,0,Ec,Dummy
1258.827767,-5.957982968,0.313654084,0,Ec,Dummy
1260.451942,-6.070228662,0.265128062,0,Ec,Dummy
1269.650346,-6.49174058,0.312452903,0,Ec,Dummy
1273.301718,-5.416409848,0.192055394,0,Ec,Dummy
1274.29567,-5.468104777,0.038440261,0,Ec,Dummy
1288.224086,-4.329393691,0.088836835,0,Ec,Dummy
1302.838725,-5.976730647,0.037853282,0,Ec,Dummy
1305.644388,-5.520970191,0.059944794,0,Ec,Dummy
1315.824521,-6.557244274,0.093605229,0,Ec,Dummy
1341.174105,-6.164312946,0.214333845,0,Ec,Dummy
1353.616476,-6.502307368,0.33688692,0,Ec,Dummy
1355.159962,-6.016805364,0.234759749,0,Ec,Dummy
1356.035787,-6.238206509,0.292136509,0,Ec,Dummy
1367.158099,-5.862508644,0.330693618,0,Ec,Dummy
1369.120505,-5.606420183,0.216936974,0,Ec,Dummy
1381.256261,-5.190404171,0.396535363,0,Ec,Dummy
1382.140545,-5.206385168,0.372585706,0,Ec,Dummy
1395.269467,-5.183327331,0.374764925,0,Ec,Dummy
1407.157188,-6.212616892,0.471922335,0,Ec,Dummy
1409.248199,-5.027841121,0.360745479,0,Ec,Dummy
1410.164979,-5.057869573,0.297193751,0,Ec,Dummy
1421.543864,-5.786465501,0.366648599,0,Ec,Dummy
1423.297171,-5.474493788,0.423172857,0,Ec,Dummy
1435.256954,-6.220221099,0.548756868,0,Ec,Dummy
1437.380774,-5.867212208,0.333827428,0,Ec,Dummy
1449.388008,-6.317305329,0.396008037,0,Ec,Dummy
1450.586162,-6.271869684,0.265047774,0,Ec,Dummy
1516.06257,-6.549770893,0.243027929,0,Ec,Dummy
1517.404044,-6.394504368,0.130098804,0,Ec,Dummy
1694.503811,-6.556900418,0.275171389,0,Ec,Dummy
1708.560287,-6.47844204,0.176702033,0,Ec,Dummy
1722.678535,-5.062295439,0.136760579,0,Ec,Dummy
1774.529471,-5.845478343,0.309869269,0,Ec,Dummy
1788.684033,-5.752425377,0.256746351,0,Ec,Dummy
1802.635832,-4.471312584,0.170057958,0,Ec,Dummy
1816.682325,-6.374974166,0.344576413,0,Ec,Dummy
