mz,mean.log.int,sd.log.int,missing.rate,species,strain
1013.139833,-6.463345449,0.808114943,0,Ef,Dummy
1014.65953,-6.336289689,0.53351951,0,Ef,Dummy
1029.673107,-6.086856416,0.450678107,0,Ef,Dummy
1030.636464,-6.403746743,0.730624915,0,Ef,Dummy
1040.630434,-6.461598145,0.590902723,0,Ef,Dummy
1041.567338,-6.384339106,0.164337145,0,Ef,Dummy
1055.160764,-6.108915469,0.125909016,0,Ef,Dummy
1056.824871,-4.922051038,0.879243293,0,Ef,Dummy
1057.627283,-4.771450941,0.213362649,0,Ef,Dummy
1058.998283,-5.241866353,0.383416428,0,Ef,Dummy
1059.874587,-5.9587329,0.2629171,0,Ef,Dummy
1060.663822,-5.860383798,0.11461043,0,Ef,Dummy
1085.689088,-6.364229661,0.635576117,0,Ef,Dummy
1101.012235,-5.367348629,1.485693171,0,Ef,Dummy
1102.828664,-6.283482315,1.248324021,0,Ef,Dummy
1104.936635,-5.621781181,0.2284812,0,Ef,Dummy
1105.712509,-5.520629676,0.557963768,0,Ef,Dummy
1141.180323,-5.703173735,1.208472267,0,Ef,Dummy
1142.075677,-5.997782808,1.225726121,0,Ef,Dummy
1143.037189,-6.25057419,0.965474216,0,Ef,Dummy
1166.575052,-6.404315896,0.653762632,0,Ef,Dummy
1167.644622,-6.485382011,0.921777065,0,Ef,Dummy
1367.318995,-6.210418044,0.394355812,0,Ef,Dummy
1368.163292,-6.138689714,0.097350695,0,Ef,Dummy
1369.545092,-5.92247135,0.230300677,0,Ef,Dummy
1377.188447,-5.81329231,1.26858081,0,Ef,Dummy
1379.643541,-6.238386237,0.906580091,0,Ef,Dummy
1381.47511,-6.120149673,0.207496774,0,Ef,Dummy
1383.533702,-6.024802298,0.476419486,0,Ef,Dummy
1393.743828,-6.371771925,0.311620254,0,Ef,Dummy
1395.504284,-5.228235993,0.570538517,0,Ef,Dummy
1397.433679,-5.377096779,0.608343208,0,Ef,Dummy
1407.979703,-6.40841983,0.359549864,0,Ef,Dummy
1409.545956,-5.327536896,0.705403247,0,Ef,Dummy
1410.610143,-5.395991892,0.554759804,0,Ef,Dummy
1421.816106,-5.558733256,0.541559935,0,Ef,Dummy
1423.862409,-4.801753492,0.75541277,0,Ef,Dummy
1435.609574,-5.419401251,0.701174057,0,Ef,Dummy
1437.566713,-4.741445399,0.848607695,0,Ef,Dummy
1449.558895,-6.116447023,0.822664572,0,Ef,Dummy
1450.542789,-6.065474918,0.673272144,0,Ef,Dummy
1451.662895,-6.261834994,0.560457094,0,Ef,Dummy
1463.55994,-6.145266323,0.693422313,0,Ef,Dummy
1464.591764,-6.079623736,0.466284039,0,Ef,Dummy
1465.885917,-6.181134498,0.267629922,0,Ef,Dummy
1499.285218,-6.438473637,0.213156077,0,Ef,Dummy
1525.640026,-6.275164023,0.160390505,0,Ef,Dummy
1527.509088,-6.405685238,0.457635706,0,Ef,Dummy
1537.261568,-6.22324477,0.086567871,0,Ef,Dummy
1554.748479,-6.414909832,0.187708168,0,Ef,Dummy
