mz,mean.log.int,sd.log.int,missing.rate,species,strain
1119.146267,-6.834424597,0.226095126,0,Kp,Dummy
1316.760917,-5.891215454,0.207553778,0,Kp,Dummy
1333.287742,-6.047577185,0.179254749,0,Kp,Dummy
1335.71027,-6.436953999,0.241572912,0,Kp,Dummy
1342.526926,-6.277218571,0.157208395,0,Kp,Dummy
1353.650712,-6.640347843,0.240880584,0,Kp,Dummy
1367.711653,-6.19143738,0.137603951,0,Kp,Dummy
1369.598154,-5.612317277,0.156388056,0,Kp,Dummy
1370.628762,-5.873220568,0.155636976,0,Kp,Dummy
1381.653996,-4.734364765,0.065912513,0,Kp,Dummy
1382.625185,-4.817100931,0.06773478,0,Kp,Dummy
1393.582088,-6.662678119,0.305298021,0,Kp,Dummy
1395.667664,-5.663006185,0.044434702,0,Kp,Dummy
1396.661345,-5.784116679,0.07038847,0,Kp,Dummy
1397.655385,-5.942636057,0.127570348,0,Kp,Dummy
1399.340248,-6.50520319,0.349840501,0,Kp,Dummy
1409.717413,-4.407027817,0.127540176,0,Kp,Dummy
1410.680873,-4.472889841,0.124898714,0,Kp,Dummy
1421.75503,-5.849271601,0.196630593,0,Kp,Dummy
1422.734434,-5.944354025,0.197197395,0,Kp,Dummy
1423.696465,-5.773580223,0.065179128,0,Kp,Dummy
1435.607274,-6.452962264,0.162702227,0,Kp,Dummy
1437.745086,-5.248429336,0.250478131,0,Kp,Dummy
1438.74427,-5.349172827,0.243517862,0,Kp,Dummy
1449.741711,-5.664557171,0.205786632,0,Kp,Dummy
1450.776078,-5.772254283,0.254977273,0,Kp,Dummy
1465.799446,-6.726701788,0.271803341,0,Kp,Dummy
1545.549309,-6.777996586,0.343434413,0,Kp,Dummy
1560.338893,-6.764005902,0.161595791,0,Kp,Dummy
1604.716243,-6.761937407,0.485357665,0,Kp,Dummy
1619.848512,-6.416839163,0.202907506,0,Kp,Dummy
1620.894495,-6.516073616,0.212156427,0,Kp,Dummy
1751.190945,-5.392472809,0.076416722,0,Kp,Dummy
1767.190038,-5.471345863,0.183101155,0,Kp,Dummy
1803.28339,-5.659131845,0.177315237,0,Kp,Dummy
1819.184856,-5.996141661,0.345716131,0,Kp,Dummy
1831.182962,-3.886717013,0.152291253,0,Kp,Dummy
1844.19464,-6.119759471,0.112428322,0,Kp,Dummy
1847.161981,-4.019424798,0.112915913,0,Kp,Dummy
1860.001012,-5.847006922,0.089418389,0,Kp,Dummy
1882.502475,-6.052509485,0.102910734,0,Kp,Dummy
1898.357205,-5.754707538,0.282441469,0,Kp,Dummy
1962.391265,-6.063553442,0.102423286,0,Kp,Dummy
1978.434777,-5.960007932,0.159344212,0,Kp,Dummy
1989.222964,-6.66424018,0.358752955,0,Kp,Dummy
2005.285275,-6.641847519,0.31250429,0,Kp,Dummy
2041.292041,-6.508472598,0.295154604,0,Kp,Dummy
2057.266091,-6.747777187,0.282854198,0,Kp,Dummy
2069.786838,-4.897244171,0.60191788,0,Kp,Dummy
2085.693834,-5.048656456,0.511108104,0,Kp,Dummy
