mz,mean.log.int,sd.log.int,missing.rate,species,strain
1145.338304,-6.350877134,0.155761032,0,Pa,Dummy
1171.318058,-6.014414545,0.165683972,0,Pa,Dummy
1172.479413,-6.186161774,0.454764902,0,Pa,Dummy
1173.330733,-6.199329011,0.285534195,0,Pa,Dummy
1189.3304,-6.416017241,0.136384508,0,Pa,Dummy
1201.387639,-6.109384402,0.314411587,0,Pa,Dummy
1202.34164,-6.395947631,0.425331051,0,Pa,Dummy
1217.226565,-6.441555246,0.216434411,0,Pa,Dummy
1218.356074,-6.405170985,0.287260558,0,Pa,Dummy
1342.240471,-6.64893881,1.145699625,0,Pa,Dummy
1343.521619,-5.969154982,0.107305865,0,Pa,Dummy
1344.38181,-6.345502852,0.472652485,0,Pa,Dummy
1353.042184,-6.115695788,0.169546574,0,Pa,Dummy
1354.570298,-5.462214246,1.063246546,0,Pa,Dummy
1355.554994,-4.792504683,0.039976544,0,Pa,Dummy
1358.97836,-5.968933157,0.068264913,0,Pa,Dummy
1370.629349,-4.156194712,1.195170309,0,Pa,Dummy
1371.590944,-3.369842693,0.163969118,0,Pa,Dummy
1380.185083,-5.596119781,1.032332564,0,Pa,Dummy
1381.650063,-4.977772459,0.120567511,0,Pa,Dummy
1383.168281,-4.555308496,0.253370484,0,Pa,Dummy
1386.59157,-4.446027307,1.086587796,0,Pa,Dummy
1387.570448,-3.749085483,0.140174664,0,Pa,Dummy
1393.135732,-6.636023892,0.142743825,0,Pa,Dummy
1394.677733,-5.913580245,1.059758118,0,Pa,Dummy
1395.671175,-5.227084684,0.115141127,0,Pa,Dummy
1396.641585,-5.370566127,0.122697678,0,Pa,Dummy
1406.270553,-5.268037051,1.309357031,0,Pa,Dummy
1408.251423,-3.904724715,0.573205392,0,Pa,Dummy
1409.722537,-3.65344371,0.151070201,0,Pa,Dummy
1420.723369,-5.809795706,1.226333819,0,Pa,Dummy
1422.245367,-4.511710662,0.425949779,0,Pa,Dummy
1423.714977,-4.346699339,0.075560933,0,Pa,Dummy
1434.699493,-5.724719544,1.011074696,0,Pa,Dummy
1435.739811,-4.869174563,0.196078549,0,Pa,Dummy
1436.72713,-4.933433808,0.20022254,0,Pa,Dummy
1440.662013,-6.542756308,0.374025386,0,Pa,Dummy
1450.210122,-4.994362194,0.93057709,0,Pa,Dummy
1451.622696,-4.113943325,0.315320502,0,Pa,Dummy
1466.137341,-5.609798993,0.835082041,0,Pa,Dummy
1467.632639,-4.74177109,0.492210777,0,Pa,Dummy
1540.422869,-6.630073249,0.881246267,0,Pa,Dummy
1541.802241,-5.877795275,0.107512978,0,Pa,Dummy
1557.782647,-6.438419252,0.144599427,0,Pa,Dummy
1620.38857,-6.38962077,0.864583997,0,Pa,Dummy
1621.683803,-5.27565155,0.494309771,0,Pa,Dummy
1622.799838,-5.518495417,0.965598412,0,Pa,Dummy
1624.768031,-6.272949306,0.653186734,0,Pa,Dummy
1637.818667,-5.90030444,0.796807336,0,Pa,Dummy
1638.769162,-6.070623992,1.011045897,0,Pa,Dummy
