"mz","mean.log.int","sd.log.int","missing.rate","species","strain"
1149.5054886281,-6.00444750133397,0.186924058957857,0.5,"A","Y"
1175.43310847145,-5.74660063214779,0.102901158034525,0.5,"A","Y"
1176.32291920146,-5.89985176685714,0.134985446630199,0.25,"A","Y"
1177.49262064041,-5.75831292743663,0.119357022869505,0.5,"A","Y"
1178.33238035133,-6.14741493054226,0.285528565749057,0,"A","Y"
1193.40186854428,-6.23897997423457,0.21355957251419,0.5,"A","Y"
1205.55964447277,-5.96553695626596,0.421661603403713,0.5,"A","Y"
1206.38315291143,-5.89903142773273,0.0135216856634622,0.25,"A","Y"
1207.33936932258,-6.22432705388984,0.428301428634785,0.25,"A","Y"
1222.18661612848,-6.2237332853147,0.224337970312278,0.5,"A","Y"
1223.33543823879,-6.10542458138619,0.0658393682293541,0.5,"A","Y"
1347.63625882418,-5.61433359938695,0.226786720652984,0.5,"A","Y"
1348.52499575984,-5.93066046689088,0.125822985105297,0.25,"A","Y"
1349.32544409321,-5.88854526989191,0.0398716619486815,0.5,"A","Y"
1358.04109605343,-6.05612094875777,0.171585156144749,0,"A","Y"
1359.63052503422,-4.47625650991077,0.0784765484911762,0.5,"A","Y"
1360.55556864597,-4.7315719985614,0.0409103152671995,0,"A","Y"
1363.95503535549,-5.91031267612149,0.0635694678002021,0,"A","Y"
1373.99004763013,-5.21571285010153,0.156664647795367,0.25,"A","Y"
1375.68648997942,-3.05430135837092,0.0579907175758206,0.5,"A","Y"
1376.56697575181,-3.34270956607143,0.189367757862137,0.25,"A","Y"
1386.159300998,-4.81055045022701,0.222423314266041,0,"A","Y"
1388.16524975009,-4.49351858329181,0.260044544480522,0,"A","Y"
1390.08693590903,-4.83940590606599,0.147720568634068,0.5,"A","Y"
1391.6419971413,-3.43747061811142,0.043924820584857,0.5,"A","Y"
1392.57161527951,-3.68706533900871,0.1455633544729,0,"A","Y"
1399.72982104209,-4.9351974885642,0.182901094510534,0.5,"A","Y"
1400.65239240389,-5.21296102568145,0.0836444070009257,0.25,"A","Y"
1401.98140054787,-5.35234292279492,0.14072048980888,0.25,"A","Y"
1411.76599406907,-4.06825501769148,0.108255067600566,0.5,"A","Y"
1412.73903731661,-4.34385952688239,0.0493899934052223,0.5,"A","Y"
1413.76625238395,-3.34217523788373,0.0573093658680445,0.5,"A","Y"
1414.7134514438,-3.6497107598469,0.130659282866909,0.25,"A","Y"
1426.25699683767,-4.75192663979411,0.110068115665376,0,"A","Y"
1427.73678231146,-4.08038674749089,0.0954938132839962,0.5,"A","Y"
1428.70921878587,-4.32259515870135,0.0353029181251015,0.25,"A","Y"
1439.72570076479,-4.79275736578371,0.142727349396465,0.5,"A","Y"
1440.73788797958,-4.81224009392903,0.196491433751345,0,"A","Y"
1441.75580636372,-5.03142247683276,0.165868380828092,0.5,"A","Y"
1455.21376380312,-4.93391913776922,0.937466599693189,0,"A","Y"
1456.63726178257,-3.98525395333934,0.34188071719084,0.25,"A","Y"
1471.13923412384,-5.55061772977514,0.840543511084312,0,"A","Y"
1472.60763802852,-4.50571720151074,0.414015982463479,0.25,"A","Y"
1545.43685626729,-6.22794120376822,0.678654188505237,0.25,"A","Y"
1546.80765613784,-5.81945816708457,0.104757194331749,0,"A","Y"
1625.45964335554,-6.03671944373028,0.76917671664195,0.25,"A","Y"
1626.64064110705,-5.64129443502232,0.1474106000576,0.5,"A","Y"
1627.8358355022,-4.63460837061677,0.0674893199883419,0.5,"A","Y"
1642.97434728085,-5.93810698683014,1.00087595223991,0.5,"A","Y"
1643.84658477436,-5.73311482530525,1.02447783250664,0.25,"A","Y"
