"mz","mean.log.int","sd.log.int","missing.rate","species","strain"
1059.85136425448,-5.793792510196,0.0224388791248172,0,"C","X"
1115.19731052707,-5.1735601748877,0.0101266469555794,0,"C","X"
1116.17730965226,-5.53578808839896,0.0193476916945587,0,"C","X"
1117.21397539758,-5.30496208174864,0.0146157202168114,0,"C","X"
1118.18097452969,-5.74943958382369,0.0142146292809112,0,"C","X"
1141.21028668927,-5.81115301079396,0.028480247439013,0,"C","X"
1143.23261809461,-4.04664452900582,0.00973779031103934,0,"C","X"
1144.21428381254,-4.2980177511891,0.00492561364149518,0,"C","X"
1146.20328188067,-5.0705141938856,0.00562995058131972,0,"C","X"
1148.21827972029,-4.50720964092096,0.0227801873864362,0,"C","X"
1149.19561202941,-4.92120244521782,0.0201752338970618,0,"C","X"
1169.28025619125,-5.54106052895582,0.0229169372678675,0,"C","X"
1170.20892170352,-5.81081376583758,0.0265747268676646,0,"C","X"
1174.24158362092,-4.47625809320007,0.0240051130856517,0,"C","X"
1175.22191560985,-4.78034002731048,0.016245945579213,0,"C","X"
1246.17382031776,-5.76826874307893,0.0198184283537065,0,"C","X"
1274.28212286494,-5.40357791281868,0.0104678795844541,0,"C","X"
1276.26678583576,-5.76675301406705,0.00370849220440692,0,"C","X"
1302.35642571967,-4.69710323263782,0.0445036478131544,0,"C","X"
1303.33342486459,-4.95202005956802,0.0387219246071953,0,"C","X"
1318.38407974756,-5.52519059620781,0.0100975807985597,0,"C","X"
1319.38974540477,-5.86815089266401,0.0158091162307182,0,"C","X"
1328.3537390893,-5.6710010570578,0.0571279489410949,0,"C","X"
1330.32973812311,-5.72087002142673,0.0139626694372633,0,"C","X"
1356.48204401947,-5.13078243674427,0.00842168621103893,0,"C","X"
1358.48104009528,-4.95778499287749,0.00444770674097228,0,"C","X"
1370.53935641533,-5.79201227205189,0.0198441810378966,0,"C","X"
1372.51668779153,-5.32006510807247,0.014146643783691,0,"C","X"
1382.56901287263,-4.91623917511088,0.017037135766958,0,"C","X"
1384.58401152679,-3.62994844373978,0.0161921238414598,0,"C","X"
1386.51834325856,-3.7167770064146,0.0165517607599487,0,"C","X"
1398.59966634626,-4.41195209318928,0.00277221393014716,0,"C","X"
1400.52299721884,-4.4403340102342,0.00262195576950414,0,"C","X"
1410.67598745782,-3.87615573706336,0.00786833091524952,0,"C","X"
1412.6463190067,-3.08992302852493,0.0191715389586634,0,"C","X"
1424.64531262726,-5.30896208402572,0.0179810426621342,0,"C","X"
1426.61197873693,-4.68124792298913,0.00386501185559059,0,"C","X"
1436.69064240546,-5.44552067900924,0.0237924035402352,0,"C","X"
1438.67197562127,-3.79967695775921,0.0161972641716365,0,"C","X"
1439.57330855488,-3.84878354255912,0.016905235138401,0,"C","X"
1464.69597125493,-5.77018694333706,0.0235225104245973,0,"C","X"
1465.61463744579,-5.81718215155175,0.0311144284596943,0,"C","X"
1484.50128060198,-5.37174468564077,0.0287941887592326,0,"C","X"
1486.47627649885,-5.4402995153035,0.0270683213388488,0,"C","X"
1510.54887303679,-4.77176179960654,0.0185685482887507,0,"C","X"
1512.50653185087,-4.57752284424008,0.0165208625156089,0,"C","X"
1514.45452418629,-4.81784154641405,0.0191806379653975,0,"C","X"
1538.54243678769,-5.61108893673399,0.025078920879396,0,"C","X"
1540.50742771129,-5.83141183744317,0.027887203379168,0,"C","X"
1919.89562213154,-5.28093132868483,0.1725209220413,0,"C","X"
